description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Combo 4 Empanadas de Pollo Wong + Gaseosa 1.5 Litros,S/ 22.90,metro,PASTELES SALADOS,2024-12-04 20:48:55.910267,1.5,l,Combo 4 Empanadas de Pollo Wong + Gaseosa itros,22.9,metro,,PASTELES SALADOS
Combo 4 Empanadas de Carne Wong + Gaseosa 1.5 Litros,S/ 22.90,metro,PASTELES SALADOS,2024-12-04 20:48:55.910267,1.5,l,Combo 4 Empanadas de Carne Wong + Gaseosa itros,22.9,metro,,PASTELES SALADOS
Pasta Dental COLGATE Total 12 Clean Mint Tubo 75ml Paquete 3un,S/ 27.10,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,75.0,ml,Pasta Dental COLGATE Total 12 Clean Mint Tubo  Paquete,27.1,vivanda,COLGATE,PASTELES SALADOS
Combo: 12 Empanadas Cocktail de Carne + Chicha Naturale Botella 1L,S/ 28.90,wong,PASTELES SALADOS,2024-12-04 18:22:31.506340,1.0,l,Combo: 12 Empanadas Cocktail de Carne + Chicha Naturale Botella,28.9,wong,,PASTELES SALADOS
Combo: 12 Empanadas Cocktail de Pollo + Chicha Naturale Botella 1L,S/ 28.90,wong,PASTELES SALADOS,2024-12-04 18:22:31.506340,1.0,l,Combo: 12 Empanadas Cocktail de Pollo + Chicha Naturale Botella,28.9,wong,,PASTELES SALADOS
Papel Higiénico ELITE Ultra Doble Hoja Paquete 12un,S/ 29.30,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,12.0,un,Papel Higiénico ELITE Ultra Doble Hoja Paquete,29.3,vivanda,ELITE,PASTELES SALADOS
Combo: 12 Empanadas Cocktail de Carne + Gaseosa Botella 1.5L,S/ 29.50,wong,PASTELES SALADOS,2024-12-04 18:22:31.506340,1.5,l,Combo: 12 Empanadas Cocktail de Carne + Gaseosa Botella,29.5,wong,,PASTELES SALADOS
Combo: 12 Empanadas Cocktail de Pollo + Gaseosa Botella 1.5L,S/ 29.50,wong,PASTELES SALADOS,2024-12-04 18:22:31.506340,1.5,l,Combo: 12 Empanadas Cocktail de Pollo + Gaseosa Botella,29.5,wong,,PASTELES SALADOS
Combo 6 Empanadas de Carne Metro + Gaseosa 1.5 Litros,S/ 30.90,metro,PASTELES SALADOS,2024-12-04 20:48:55.910267,1.5,l,Combo 6 Empanadas de Carne Metro + Gaseosa itros,30.9,metro,,PASTELES SALADOS
Combo 6 Empanadas de Pollo Metro + Gaseosa 1.5 Litros,S/ 30.90,metro,PASTELES SALADOS,2024-12-04 20:48:55.910267,1.5,l,Combo 6 Empanadas de Pollo Metro + Gaseosa itros,30.9,metro,,PASTELES SALADOS
Limpiador Abrillantador para Pisos Laminados MASTER Galonera 2L,S/ 32.19,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,2.0,l,Limpiador Abrillantador para Pisos Laminados MASTER Galonera,32.19,vivanda,MASTER,PASTELES SALADOS
Combo: Empanada de Lomo + Gaseosa Botella 1.5L,S/ 34.90,wong,PASTELES SALADOS,2024-12-04 18:22:31.506340,1.5,l,Combo: Empanada de Lomo + Gaseosa Botella,34.9,wong,,PASTELES SALADOS
Resaltador Note Pastel 12 Unidades,S/ 35.30,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,12.0,un,Resaltador Note Pastel ades,35.3,tottus,SHARPIE,PASTELES SALADOS
Papel Higiénico SUAVE Esencias Elegance Paquete 32un,S/ 36.90,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,32.0,un,Papel Higiénico SUAVE Esencias Elegance Paquete,36.9,vivanda,SUAVE,PASTELES SALADOS
MULTIMARK SHAKE Y PAINT PASTEL CTN X6UN,S/ 39.90,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,6.0,un,MULTIMARK SHAKE Y PAINT PASTEL CTN X,39.9,tottus,FABER CASTELL,PASTELES SALADOS
Pistacho Tostado y Salado WONDERFUL Bolsa 227g,S/ 45.90,vivanda,PASTELES SALADOS,2024-12-04 17:19:47.021369,227.0,g,Pistacho Tostado y Salado WONDERFUL Bolsa,45.9,vivanda,WONDERFUL,PASTELES SALADOS
Tetera Inoxidable 3.2 L Celeste Pastel,S/ 49.90,tottus,PASTELES SALADOS,2024-12-04 13:04:41.704988,3.2,l,Tetera Inoxidable  Celeste Pastel,49.9,tottus,CASA JOVEN,PASTELES SALADOS
