description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Vainita Picada Wong Bandeja 300g,S/ 12.00,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,300.0,g,Vainita Picada Wong Bandeja,12.0,wong,,VERDURA PICADA
Verduras Picadas para Sopa Andina Cuisine & Co 350g,S/ 12.00,metro,VERDURA PICADA,2024-12-04 21:50:49.809830,350.0,g,Verduras Picadas para Sopa Andina Cuisine & Co,12.0,metro,,VERDURA PICADA
Choclo Extra Dulce Viva Bandeja 2 unid,S/ 12.00,metro,VERDURA PICADA,2024-12-04 21:50:49.809830,2.0,un,Choclo Extra Dulce Viva Bandeja,12.0,metro,,VERDURA PICADA
Ensalada Clásica La Buena Pepa 380g,S/ 12.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830,380.0,g,Ensalada Clásica La Buena Pepa,12.5,metro,,VERDURA PICADA
Habas Picadas Cuisine & Co 200g,S/ 12.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830,200.0,g,Habas Picadas Cuisine & Co,12.5,metro,,VERDURA PICADA
Champiñón Entero Paccu Bandeja 400 g,S/ 12.50,metro,VERDURA PICADA,2024-12-04 21:50:49.809830,400.0,g,Champiñón Entero Paccu Bandeja,12.5,metro,,VERDURA PICADA
Crunchy Salad Mattson 175 gr,S/ 12.50,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,175.0,g,Crunchy Salad Mattson r,12.5,wong,,VERDURA PICADA
Ensalada Clásica La Buena Pepa 380g,S/ 12.50,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,380.0,g,Ensalada Clásica La Buena Pepa,12.5,wong,,VERDURA PICADA
Ensalada Thai Mattson 130g,S/ 12.50,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,130.0,g,Ensalada Thai Mattson,12.5,wong,,VERDURA PICADA
Habas Peladas Wong Bandeja 200g,S/ 12.50,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,200.0,g,Habas Peladas Wong Bandeja,12.5,wong,,VERDURA PICADA
Ensalada Vietnamita Mattson 240g,S/ 12.50,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,240.0,g,Ensalada Vietnamita Mattson,12.5,wong,,VERDURA PICADA
Sopa de Verduras Wong Bandeja 300g,S/ 12.60,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,300.0,g,Sopa de Verduras Wong Bandeja,12.6,wong,,VERDURA PICADA
Tuna en Trozos Natifrut 280g,S/ 12.69,wong,VERDURA PICADA,2024-12-04 19:59:47.455010,280.0,g,Tuna en Trozos Natifrut,12.69,wong,,VERDURA PICADA
Tuna en Trozos Natifrut 280g,S/ 12.69,metro,VERDURA PICADA,2024-12-04 21:50:49.809830,280.0,g,Tuna en Trozos Natifrut,12.69,metro,,VERDURA PICADA
