description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric,WEB,brand,CLASIFICACION
Bebida Rehidratante Tropical 1.5 L,S/ 4.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,1.5,l,4.9,tottus,SPORADE,BEBIDA HIDRATANTE
Bebida de Piña 1 L,S/ 4.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,1.0,l,4.9,tottus,GLORIA,BEBIDA HIDRATANTE
Bebida Rehidratante GATORADE Sabor a Mandarina Botella 750ml,S/ 4.90,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,750.0,ml,4.9,vivanda,GATORADE,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Mandarina Botella 750ml,S/ 4.99,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,750.0,ml,4.99,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Apple Ice Botella 750ml,S/ 4.99,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,750.0,ml,4.99,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Tropical Botella 750ml,S/ 4.99,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,750.0,ml,4.99,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante GATORADE Gatorlyte Uva 591ml,S/ 5.00,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,591.0,ml,5.0,vivanda,GATORADE,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Mandarina Botella 750ml,S/ 5.10,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,750.0,ml,5.1,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorade Tropical Botella 750ml,S/ 5.10,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,750.0,ml,5.1,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Gatorlit Recover Fresa Kiwi Botella 591ml,S/ 5.50,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,591.0,ml,5.5,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante POWERADE Frutas Botella 1.5L,S/ 5.50,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,1.5,l,5.5,vivanda,POWERADE,BEBIDA HIDRATANTE
Bebida Rehidratante SPORADE Tropical Electrolitos Botella 1.5L,S/ 5.50,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,1.5,l,5.5,vivanda,SPORADE,BEBIDA HIDRATANTE
Bebida Rehidratante SPORADE Blueberry Botella 1.5L,S/ 5.50,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,1.5,l,5.5,vivanda,SPORADE,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Multifrutas Botella 1.5L,S/ 5.50,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,1.5,l,5.5,metro,,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Mora Botella 1.5L,S/ 5.50,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,1.5,l,5.5,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Multifrutas Botella 1.5L,S/ 5.50,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,1.5,l,5.5,wong,,BEBIDA HIDRATANTE
REHIDRATANTE MORA BOTELLA X 1.5L,S/ 5.50,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,1.5,l,5.5,tottus,POWERADE,BEBIDA HIDRATANTE
Bebida Rehidratante Powerade Mora Botella 1.5L,S/ 5.50,metro,BEBIDA HIDRATANTE,2024-12-04 22:25:56.514517,1.5,l,5.5,metro,,BEBIDA HIDRATANTE
Bebida Sabor Manzana 1.5 Lt Caja,S/ 5.50,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,1.5,l,5.5,tottus,FRUGOS DEL VALLE,BEBIDA HIDRATANTE
Bebida Rehidratante POWERADE Mora Botella 1.5L,S/ 5.50,vivanda,BEBIDA HIDRATANTE,2024-12-04 18:20:22.255946,1.5,l,5.5,vivanda,POWERADE,BEBIDA HIDRATANTE
Rehidratante Sporade Pet 1.5L Tropical,S/ 5.60,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,1.5,l,5.6,wong,,BEBIDA HIDRATANTE
Bebida Life SOS Relax Lata 355ml,S/ 5.90,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,1.0,l,5.9,wong,,BEBIDA HIDRATANTE
Bebida Rehidratante Life SOS Recovery Tropical Lata 355ml,S/ 5.90,wong,BEBIDA HIDRATANTE,2024-12-04 20:53:27.835546,355.0,ml,5.9,wong,,BEBIDA HIDRATANTE
BEBIDA FRUGOS VALLE FRESH FRUIT PUNCH BOT X 3L,S/ 5.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,3.0,l,5.9,tottus,FRUGOS DEL VALLE,BEBIDA HIDRATANTE
BEBIDA DE NARANJA CAJA 1.5L,S/ 5.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,1.5,l,5.9,tottus,GLORIA,BEBIDA HIDRATANTE
Bebida Frugos Fresh Naranja de 3 L,S/ 5.90,tottus,BEBIDA HIDRATANTE,2024-12-04 14:01:16.732811,3.0,l,5.9,tottus,FRUGOS DEL VALLE,BEBIDA HIDRATANTE
