unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,price_numeric
Paquete 1kg,Harina Preparada GRANO DE ORO Paquete 1Kg,S/ 6.99 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,1.0,kg,6.99
Doypack 400g,Harina de Almendras LA CASA MARIMIEL Doypaack ...,S/ 37.90 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,400.0,g,37.9
Bolsa 150g,Harina de Haba Tostada COSECHA DEL SUR Bolsa 1...,S/ 4.20 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,150.0,g,4.2
Doypack 100g,Mostaza LIBBY'S Base de semilla de mostaza Doy...,S/ 3.80 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,100.0,g,3.8
Bolsa 1kg,Harina LA CASA MARIMEL Integral Bolsa 1Kg,S/ 12.90 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,1.0,kg,12.9
Frasco 113g,Colado HEINZ Fruta Mixtas Frasco 113g,S/ 4 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,113.0,g,4.0
Bolsa 160g,Multicereales COSECHA DEL SUR 7 Semillas Choco...,S/ 4.40 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,160.0,g,4.4
Paquete 6un,Bizcocho COSTA Caritas Paquete 6un,S/ 3.79 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,6.0,un,3.79
Bolsa 200g,Harina de Cañihua LA CASA MARIMEL Bolsa 200g,S/ 13.40 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,200.0,g,13.4
Caja 5un,Barra Chía y Coco SIETE DRAGONES Caja 5un,S/ 19.90 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,5.0,un,19.9
Bolsa 200g,Cereal NATURANDES Harina 7 semillas Bolsa 200G...,S/ 10.90 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,200.0,g,10.9
Bolsa 200g,Harina de Quinua LA CASA MARIMIEL Bolsa 200g,S/ 12.50 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,200.0,g,12.5
Doypack 460g,Harina 7 Semillas NATURANDES Chocolate Doypack...,S/ 29.50 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,460.0,g,29.5
Bolsa 1kg,Harina Sin Preparar GRANO DE ORO Bolsa 1Kg,S/ 6 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,1.0,kg,6.0
Bolsa 200g,Harina de Maca Negra LA CASA MARIMIEL Bolsa 20...,S/ 28.90 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,200.0,g,28.9
Doypack 216g,Harina Mix Proteína NATURANDES Doypack 216g,S/ 23 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,216.0,g,23.0
Doypack 250g,Salvado de Trigo con Harina de Linaza GRANO DE...,S/ 8.90 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,250.0,g,8.9
Bolsa 80g,Harina de Avena BELL'S Vainilla Bolsa 80g,S/ 1.20 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,80.0,g,1.2
Doypack 160g,Mix Fibra NATURANDES Semillas Doypack 160g,S/ 15.50 un,plaza_vea,HARINA SIETE SEMILLAS O MIXTAS,2024-12-04 12:57:38.588371,160.0,g,15.5
