description,brand,cantidad,unidad,price_numeric,website,scrape_timestamp,search_term,cantidad_escalada,unidad_escalada,price_numeric_escalado,CLASIFICACION
Bebida Ready to Drink Tabernero Sour Piña Colada Botella 700ml,,700.0,ml,19.9,wong,2024-12-07 17:37:58.183202,PIÑA,700.0,ml,19.9,PIÑA
Piña Deshidratada Go Barman 60g,,60.0,g,19.9,wong,2024-12-07 17:37:58.183202,PIÑA,60.0,g,19.9,PIÑA
Piña Deshidratada GO BARMAN Bolsa 60g,,60.0,g,19.9,plaza_vea,2024-12-07 13:57:38.890091,PIÑA,60.0,g,19.9,PIÑA
Piña Deshidratada GO BARMAN Bolsa 60g,GO BARMAN,60.0,g,19.9,vivanda,2024-12-07 14:25:47.164368,PIÑA,60.0,g,19.9,PIÑA
Barras Energéticas Siete Dragones Coco y Piña 5un,,5.0,un,20.4,wong,2024-12-07 17:37:58.183202,PIÑA,5.0,un,20.4,PIÑA
Cereal UNIÓN con Arándanos y Piña Liofilizada Caja 350g,UNIÓN,350.0,g,22.5,vivanda,2024-12-07 14:25:47.164368,PIÑA,350.0,g,22.5,PIÑA
Chocolate Relleno con Jalea de Piña Britt 170g,,170.0,g,23.9,wong,2024-12-07 17:37:58.183202,PIÑA,170.0,g,23.9,PIÑA
Bebida Ready to Drink Piscano Sour Piña Colada Botella 700ml,,700.0,ml,24.5,wong,2024-12-07 17:37:58.183202,PIÑA,700.0,ml,24.5,PIÑA
Licor Frutado de Pisco y Piña Burgos Botella 750ml,,750.0,ml,27.9,wong,2024-12-07 17:37:58.183202,PIÑA,750.0,ml,27.9,PIÑA
King Kong de Manjarblanco y Piña Caja 450 g,,450.0,g,29.2,wong,2024-12-07 17:37:58.183202,PIÑA,450.0,g,29.2,PIÑA
"King Kong de Manjarblanco, Piña y Maní Caja 450 g",,450.0,g,29.2,wong,2024-12-07 17:37:58.183202,PIÑA,450.0,g,29.2,PIÑA
Tarta de Piña 10 Porciones,,10.0,un,32.9,wong,2024-12-07 17:37:58.183202,PIÑA,10.0,un,32.9,PIÑA
Helado Veggie Mango & Piña Lift Pote 390 g,,390.0,g,33.5,wong,2024-12-07 17:37:58.183202,PIÑA,390.0,g,33.5,PIÑA
Piña Deshidratada Sufrut 200g,,200.0,g,33.5,wong,2024-12-07 17:37:58.183202,PIÑA,200.0,g,33.5,PIÑA
Mermelada de Piña Diet Crema & Nata frasco 330 g,,330.0,g,34.9,wong,2024-12-07 17:37:58.183202,PIÑA,330.0,g,34.9,PIÑA
Enrollado de Cerdo con Jamón y Piña Alamesa x kg,,1.0,kg,38.9,wong,2024-12-07 17:37:58.183202,PIÑA,1.0,kg,38.9,PIÑA
Agua de Piña Light Golden 485ml,,485.0,ml,45.9,metro,2024-12-07 20:27:41.757272,PIÑA,485.0,ml,45.9,PIÑA
Enrollado de Cerdo OTTO KUNZ con Jamón y Piña Paquete 1Kg,OTTO KUNZ,1.0,kg,46.9,vivanda,2024-12-07 14:25:47.164368,PIÑA,1.0,kg,46.9,PIÑA
"King Kong de Manjarblanco, Piña y Maní Caja 900 g",,900.0,g,48.2,wong,2024-12-07 17:37:58.183202,PIÑA,900.0,g,48.2,PIÑA
King Kong de Manjarblanco y Piña Caja 900 g,,900.0,g,48.2,wong,2024-12-07 17:37:58.183202,PIÑA,900.0,g,48.2,PIÑA
Torta Tres Leches de Piña Colada Cuisine & Co 10 Porciones,,10.0,un,49.9,wong,2024-12-07 17:37:58.183202,PIÑA,10.0,un,49.9,PIÑA
Vodka SKYY Sabor a Piña Botella 750ml,SKYY,750.0,ml,64.9,vivanda,2024-12-07 14:25:47.164368,PIÑA,750.0,ml,64.9,PIÑA
Piña Deshidratada en Trozos Golden x kg,,1.0,kg,118.0,wong,2024-12-07 17:37:58.183202,PIÑA,1.0,kg,118.0,PIÑA
Piña Deshidratada en Trozos Golden x kg,,1.0,kg,118.0,metro,2024-12-07 20:27:41.757272,PIÑA,1.0,kg,118.0,PIÑA
Piña Deshidratada Golden x kg,,1.0,kg,219.5,wong,2024-12-07 17:37:58.183202,PIÑA,1.0,kg,219.5,PIÑA
