Nombre,precio,website,scrape_timestamp
Bimbo Tortillas Rapiditas Clásicas,11.2,Listo,2024-12-02 13:34:07.877313
Bimbo Tostadas Clasicas,8.9,Listo,2024-12-02 13:34:07.877313
Bimbo Tostadas Integrales,8.9,Listo,2024-12-02 13:34:07.877313
D'Onofrio Chocolate Chocotoncito,4.2,Listo,2024-12-02 13:34:07.877313
Bimbo Paneton Pasas y Frutas,19.9,Listo,2024-12-02 13:34:07.877313
Listo Croissant Con Chocolate,6.9,Listo,2024-12-02 13:34:07.877313
D'Onofrio Panetón Buon Natale,23.9,Listo,2024-12-02 13:34:07.877313
D'Onofrio Panetón Zipper 900 g,31.9,Listo,2024-12-02 13:34:07.877313
Chocottone Panettone con Gotas de Chocolate,5.2,Listo,2024-12-02 13:34:07.877313
Bauducco Panetón de Frutas,5.2,Listo,2024-12-02 13:34:07.877313
Listo Croissant Navideño,6.9,Listo,2024-12-02 13:34:07.877313
Combo D'Onofrio Panetón Zipper + Coca-Cola Sin Azúcar,32.41,Listo,2024-12-02 13:34:07.877313
Combo D'Onofrio Panetón Zipper + Coca-Cola Sabor Original,32.41,Listo,2024-12-02 13:34:07.877313
Combo D'Onofrio Panetón Zipper 900 g + Sprite Sin Azúcar,25.57,Listo,2024-12-02 13:34:07.877313
Listo Croissant Con Crema De Avellanas,6.9,Listo,2024-12-02 13:34:07.877313
Listo Croissant De Manjar,6.9,Listo,2024-12-02 13:34:07.877313
Suave Pack de Papel Higiénico Cuidado Completo Doble Hoja,3.3,Listo,2024-12-02 13:34:07.877313
Scott Servilletas Prácticas Cortadas ,4.3,Listo,2024-12-02 13:34:07.877313
Kleenex Pañuelos Originales,1.9,Listo,2024-12-02 13:34:07.877313
Braedt Hot Dog de Cerdo,6.9,Listo,2024-12-02 13:34:07.877313
Braedt Salchicha Cabanossi,4.4,Listo,2024-12-02 13:34:07.877313
Otto Kunz Jamonada Bologna,4.5,Listo,2024-12-02 13:34:07.877313
La Despensa Triple Pollo/jamon/queso,7.9,Listo,2024-12-02 13:34:07.877313
Otto Kunz Jamón para Pizza,5.5,Listo,2024-12-02 13:34:07.877313
Salchichería Suiza Jamonada con Pollo y Cerdo,3.5,Listo,2024-12-02 13:34:07.877313
Braedt Jamonada de Pollo con Queso Edam,8.9,Listo,2024-12-02 13:34:07.877313
Braedt Jamón Pizzero,7.9,Listo,2024-12-02 13:34:07.877313
Otto Kunz Tocino Ahumado,8.9,Listo,2024-12-02 13:34:07.877313
Piel Preservativo de Látex Sensitivo,5.0,Listo,2024-12-02 13:34:07.877313
Durex Condones sin Látex Real Feel,12.9,Listo,2024-12-02 13:34:07.877313
Piel Preservativos Clásicos de Látex Natural Lubricado,5.0,Listo,2024-12-02 13:34:07.877313
Durex Máximo Placer Caja 3 Und,10.9,Listo,2024-12-02 13:34:07.877313
Piel Preservativo con Retardante,5.0,Listo,2024-12-02 13:34:07.877313
Durex Preservativos Invisible,11.9,Listo,2024-12-02 13:34:07.877313
Durex Condones Clímax Mutuo,12.9,Listo,2024-12-02 13:34:07.877313
Durex Condones Extra Seguro,10.0,Listo,2024-12-02 13:34:07.877313
Durex Preservativo Placer Prolongado,10.5,Listo,2024-12-02 13:34:07.877313
Durex Preservativo Clásico,10.9,Listo,2024-12-02 13:34:07.877313
Durex Anillo Vibrador Intense Orgasmic,27.9,Listo,2024-12-02 13:34:07.877313
