Nombre;precio;website;scrape_timestamp
Ravioles De Carne Antigua Taberna Queirolo 500 GR;30.0;Pedidos Ya;2024-12-02 06:35:14.947340
Café Instantaneo Gourmet Lata Altomayo 450G;79.9;Pedidos Ya;2024-12-02 06:35:14.947340
Vinagre Tinto Florida Botella Plástica 625 ml;3.86;Pedidos Ya;2024-12-02 06:35:14.947340
Café Instantáneo Con Caramelo Clásico Kirma Doypack 45 Gr;6.5;Pedidos Ya;2024-12-02 06:35:14.947340
Canela Molida Sibarita Sobre 10 g;2.3;Pedidos Ya;2024-12-02 06:35:14.947340
Café Inst Descafeinado Frasco Altomayo 45 Gr;13.5;Pedidos Ya;2024-12-02 06:35:14.947340
Salsa Pesto Antigua Taberna Queirolo 250 GR;26.0;Pedidos Ya;2024-12-02 06:35:14.947340
Laurel Sibarita 5 g;2.5;Pedidos Ya;2024-12-02 06:35:14.947340
Salsa De Ají De La Casa Pote Ferymar 250g;8.9;Pedidos Ya;2024-12-02 06:35:14.947340
Cereal Angel Copix Chocolate Con Marshmallows Bolsa 740 g;23.9;Pedidos Ya;2024-12-02 06:35:14.947340
Ravioles Espinaca Y Ricotta Antigua Taberna Queirolo 500 GR;30.0;Pedidos Ya;2024-12-02 06:35:14.947340
Lasagna De Carne Antigua Taberna Queirolo 1 KG;56.9;Pedidos Ya;2024-12-02 06:35:14.947340
Arroz Integral Paisana Bolsa 1 kg;6.5;Pedidos Ya;2024-12-02 06:35:14.947340
Ravioles Integrales De Espinaca Y Ricotta Antigua Taberna Queirolo 500 GR;30.0;Pedidos Ya;2024-12-02 06:35:14.947340
Lomito De Atún Florida Aceite Vegetal 140G;8.9;Pedidos Ya;2024-12-02 06:35:14.947340
Salsa Roja Peruana Casa Verde Frasco 200G;7.6;Pedidos Ya;2024-12-02 06:35:14.947340
Salsa De Pecanas Antigua Taberna Queirolo 250 GR;32.0;Pedidos Ya;2024-12-02 06:35:14.947340
Mezcla Blanca Flor Panqueque 720 G;10.9;Pedidos Ya;2024-12-02 06:35:14.947340
Lasagna De Pesto Antigua Taberna Queirolo 1 KG;52.0;Pedidos Ya;2024-12-02 06:35:14.947340
Quinua Avena 3 Ositos Bolsa 900 g;11.9;Pedidos Ya;2024-12-02 06:35:14.947340
Ají Panca Piki Molido Doypack 120Gr;4.1;Pedidos Ya;2024-12-02 06:35:14.947340
Mermelada De Arandano Light Casa Verde 180G;14.5;Pedidos Ya;2024-12-02 06:35:14.947340
Sorrentino Integral De Alcachofa Y Ricotta Antigua Taberna Queirolo 500 GR;40.0;Pedidos Ya;2024-12-02 06:35:14.947340
Tableta De Chocolate Sol Del Cusco Tradicional 90 Gr;2.9;Pedidos Ya;2024-12-02 06:35:14.947340
Fideo Spaghetti Nicolini Paquete 1 kg;5.7;Pedidos Ya;2024-12-02 06:35:14.947340
Mostaza Libbys Doypack 200 G;6.5;Pedidos Ya;2024-12-02 06:35:14.947340
Salsa Blanca Casa Verde 150 g;4.6;Pedidos Ya;2024-12-02 06:35:14.947340
Salsa Huancaína Casa Verde x 75gr;5.9;Pedidos Ya;2024-12-02 06:35:14.947340
Ajos Molido Piki Doy Pack 350 Gr;12.3;Pedidos Ya;2024-12-02 06:35:14.947340
Comino Molido Kariño Sobre 18 g;3.9;Pedidos Ya;2024-12-02 06:35:14.947340
Crema de Rocoto Casa Verde x 75gr;5.9;Pedidos Ya;2024-12-02 06:35:14.947340
Harina Blanca Flor Sin Preparar Bolsa 1 Kg;8.0;Pedidos Ya;2024-12-02 06:35:14.947340
Mermelada De Arandanos Y Mango Casa Verde 210G;9.5;Pedidos Ya;2024-12-02 06:35:14.947340
Arveja Paisana 500gr;5.5;Pedidos Ya;2024-12-02 06:35:14.947340
Salsa De Culantro Con Espinaca Culantrito Sibarita Doypack 250 g;10.9;Pedidos Ya;2024-12-02 06:35:14.947340
Ketchup Libbys Doypack 200 g;6.9;Pedidos Ya;2024-12-02 06:35:14.947340
Chocolate para Taza 100% Cacao Tableta 100 g;11.5;Pedidos Ya;2024-12-02 06:35:14.947340
Lentejas Aderezadas Pouch Casa Verde 360 g;7.5;Pedidos Ya;2024-12-02 06:35:14.947340
Pimienta Kariño Negra Molida Frasco 40Gr;7.9;Pedidos Ya;2024-12-02 06:35:14.947340
Cappuccino Nescafé Gold 140g;19.9;Pedidos Ya;2024-12-02 06:35:14.947340
Orégano Entero Kariño Sobre 18gr;3.9;Pedidos Ya;2024-12-02 06:35:14.947340
Salsa Roja Casa Verde 350 GR;11.9;Pedidos Ya;2024-12-02 06:35:14.947340
Frejoles Aderezados Pouch 360 g;8.2;Pedidos Ya;2024-12-02 06:35:14.947340
Fresia Almohada Angel Fresa Bolsa 350 g;16.9;Pedidos Ya;2024-12-02 06:35:14.947340
Sillao Aji-No-Sillao Ajinomato Botella 500 Ml;5.5;Pedidos Ya;2024-12-02 06:35:14.947340
Casa Verde Salsa Verde 160G;5.9;Pedidos Ya;2024-12-02 06:35:14.947340
Salsa Alacena Mayonesa 850 Gr;20.9;Pedidos Ya;2024-12-02 06:35:14.947340
Quinua Avena Bolsa 270 G;5.9;Pedidos Ya;2024-12-02 06:35:14.947340
Hierba Luisa Hornimans Display 25 Und;3.9;Pedidos Ya;2024-12-02 06:35:14.947340
Compota Mango Quinua Para Niño Casa Verde 120G;4.9;Pedidos Ya;2024-12-02 06:35:14.947340
Compota Manzana Con Mango Casa Verde 120 g;4.9;Pedidos Ya;2024-12-02 06:35:14.947340
Gelatina De Cereza Royal Sobre 160 G;4.9;Pedidos Ya;2024-12-02 06:35:14.947340
Premezcla Keke Casero Vainilla Blanca Flor 750G;13.5;Pedidos Ya;2024-12-02 06:35:14.947340
