Market_name,Category_name,Product_name,Product_description,Product_price,Scrape_timestamp
Pedidos Ya Lince,Abarrotes,Sopa Instantánea Ajinomen Sabor a Gallina Picante Vaso 51 g,,3.8,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Barras De Cereal Manzana-Canela Cereal Bar Costa18 Gr.,"Cantidad: 12 unidades.
Barras de cereales con manzana y canela.
Fuente de 6 vitaminas y hierro",7.2,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Barras De Cereales Arándanos Cereal Bar Caja 8 Unid,"Cantidad: 12 unidades.
Barras de cereales con arándanos.
Fuente de 6 vitaminas y hierro",7.2,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Arroz Extra Paisana Bolsa 5 Kg,,25.9,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Pack 6 Atún Fanny Filete En Aceite Vegetal 140 g,,41.4,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Leche Condensada Topping Tarro Nestlé 297 g,,5.5,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Fideo Linguini Grosso Don Vittorio 950g,"Contiene 950 gramos.
Pasta de trigo.
Tipo: Linguini Grosso",7.9,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Arroz Integral Costeño Bolsa 750G,,5.7,2024-12-08 23:54:51.521333
Pedidos Ya Lince,Abarrotes,Cereal Nestlé Chocapic Mini 330 G,"Harina integral de trigo, vitaminas del grupo B, minerales, cacao en polvo, cebada, leche descremada en polvo, aceite vegetal y carbonato de calcio. Fuente de nutrientes esenciales para tu dieta diaria.",16.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Barras De Cereal Almendra Cereal Bar Costa 21Gr,"Origen: Nacional Barra de cereales (trigo, arroz, avena) con almendra y trozos de maníContiene: 12 unidades",11.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Leche Condensada Nestlé Lata 100G,,4.2,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Dulfina Bolsa 5 kg,,22.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Azucar Costeño Blanca 1 kg,,7.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Frijol Panamito Costeño Bosa 500 g,Contiene 500 gramos,8.0,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Garbanzos Costeño Bolsa 500 g,Contiene 500 gramos,6.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Barras De Cereal Con Mani Cereal Bar Costa 21Gr,"Barra de cereales (trigo, arroz, avena) con maní en trozos y en pasta.
Con cobertura sabor a chocolate.
Contenido: 12 unidades",11.94,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Arroz Superior Costeño Bolsa 750G,,4.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Frijol Negro Costeño Bolsa 500 g,,8.0,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Mayonesa Alacena 190G,"Contiene 190 gramos.
Salsa de mesa.
Con un toque de limón",9.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Frijol Canario COSTEÑO Bolsa 500g,Contiene 500 gramos,11.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Papa Seca Costeño 500gr,,8.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Sopa Instantánea Sabor a Gallina Ajinomen Vaso 51 g,,3.8,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Cereal Fitness Nestle Honey & Almond Cer 330G,"Contiene 330 gramos.
Cereal para el desayuno a base de trigo integral, arroz, maíz, avena integral y almendras.
Con sabor a miel.
Sin azúcar añadida.
Buena fuente de fibra",21.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Costeño Azúcar Rubia 1kg,,6.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Pallar Costeño Bolsa 500 g,,8.2,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Azúcar Blanca Dulfina Bolsa 1 kg,,6.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Mermelada Fanny Fresa Doy Pack 227 G,,4.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Harina de Arroz Costeño 1 g,,9.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Frijol Red Kidney Costeño 500gr,,8.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Lentejón Costeño Bolsa 500 g,,7.6,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Sazonador Costeño Pops sabor Queso 64g,,10.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Azúcar Rubia Cartavio Bolsa 5 kg,,22.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Sopa Instantánea Ajinomen Oriental 80gr,,2.1,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Con Fideos Aji-No-Men Sabor Carne 80Gr,"Contiene 80 gramos.
Sopa instantánea con fideos.
Sabor: Carne.
Rinde 2 porciones",2.1,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Granola con Miel de Abeja Unión Doypack 400 g,,15.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Sal de Mesa Marina Emsal Bolsa 1 kg,,2.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Ketchup A La Cena Doy Pack 380 G,,10.2,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Pack X6 Atún Fanny Trozos En Aceite Vegetal 140 G,,41.4,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Fanny Doypack Mermelada 700 g,,10.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Fanny Mermelada Fresa Barril 950g,,15.0,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Cocktail De Frutas Fanny 820Gr,,20.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Mermelada Fanny Fresa 950 g,,15.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Ajinomen Sabor Carne Vaso 51g,,3.8,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Sopa Instantanea Ajinomen Sabor Pollo 51g,"Contiene 51 gramos.
Sopa instantánea con fideos.
Sabor: Pollor.
Lista en 3 minutos",3.8,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Mermelada De Fresa Deli Fanny Doypack 700 Gr,,8.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Pack 2 Fideo Don Vittorio Spaghetti 450 g,,10.4,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Ajo Molido Piki Doypack 120G,,4.1,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Bonle Manjarblanco Sachet X 200 Gr,,5.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Café Istantaneo Altomayo Gourmet Doypack 45 G,,8.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Vinagre Florida Blanco 1 lt,,5.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Tallarin Instantáneo Saltado Ajinomen Sobre 100 g,,2.2,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Arroz Valle Norte Superior Bolsa 750 g,,4.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Pack 2 Fideo Spaghetti Don Vittorio 950 g,,15.8,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Café Tostado Molido Altomayo Clásico 450 Gr,,27.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Café Instantáneo Altomayo Clásico Doy Pack 45 G,,6.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Granola con Pasas y Almendras Unión Doypack 400 g,,16.8,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Mezcla Para Apanar Aji-No-Mix Apanado 96 Gr,,3.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Gelatina De Fresa Royal Sobre 160 Gr,,4.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Café Nescafé Fina Selección Frasco 200G,,32.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Crema Huancaina Alacena 400 G,,14.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,3 Ositos Avena Premium 900 g,"Contiene 900 gramos.
Hojuelas de avena precocida.
Con vitaminas y minerales",11.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Bonle Manjar blanco X 500 Gr,,12.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Pack 2 Fideo Linguini Grosso Don Vittorio 950 g,,15.8,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Arroz Extra Paisana Bolsa 1 kg,,5.8,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Florida Trozos De Atún Aceite Vegetal 140G,"Contiene 150 gramos.
Trozos de atún en aceite vegetal",7.2,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Granola con Granos Andinos Unión Doypack 280 g,,15.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Pack 2 Azúcar Rubia Cartavio 1 kg,,15.0,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Canela Entera Sibarita Sobre 10 g,,3.3,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Manjarblanco Bonlé 250Gr,,7.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Tallarín Rojo Instantáneo Ajinomen Bolsa 100G,,2.5,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Ají Panca Sibarita Panquita Doypack 250gr,,8.9,2024-12-08 23:54:54.116430
Pedidos Ya Lince,Abarrotes,Pack 2 Azúcar Rubia Dulfina Bolsa 1 kg,,11.0,2024-12-08 23:54:54.116430
