unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Bolsa 300g,Chicharrón de Pechuga de Pollo OREGAN FOODS Bo...,S/ 14.90 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,300.0,g,Chicharrón de Pechuga de Pollo OREGAN FOODS Bo,14.9,plaza_vea,,HAMBURGUESA
,Nuggets De Pollo 24 Unidades,S/ 14.90,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,24.0,un,Nuggets De Pollo ades,14.9,tottus,TOTTUS,HAMBURGUESA
,Alimento para Perros Natural Home Hamburguesa de Res 600g,S/ 14.99,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,600.0,g,Alimento para Perros Natural Home Hamburguesa de Res,14.99,wong,,HAMBURGUESA
,Hamburguesa OTTO KUNZ Premium de Res Bolsa 4un,S/ 15.40,vivanda,HAMBURGUESA,2024-12-05 21:46:36.928873,4.0,un,Hamburguesa OTTO KUNZ Premium de Res Bolsa,15.4,vivanda,OTTO KUNZ,HAMBURGUESA
Bolsa 4un,Milanesa de Pavo SAN FERNANDO Bolsa 415g,S/ 15.79 un,plaza_vea,HAMBURGUESA,2024-12-05 14:53:55.436035,4.0,un,Milanesa de Pavo SAN FERNANDO Bolsa,15.79,plaza_vea,,HAMBURGUESA
,Hamburguesa de Res Otto Kunz Bolsa 4 unid,S/ 15.90,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,4.0,un,Hamburguesa de Res Otto Kunz Bolsa,15.9,wong,,HAMBURGUESA
,Hamburguesas Pavo 12 unds 600 g,S/ 15.90,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,12.0,un,Hamburguesas Pavo ds,15.9,tottus,NATURAL HOME,HAMBURGUESA
,Mini Hamburguesa Parrillera 8 Un,S/ 15.90,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,8.0,un,Mini Hamburguesa Parrillera,15.9,tottus,TOTTUS,HAMBURGUESA
,Hamburguesas de Pavo Natural Home 600g,S/ 15.99,wong,HAMBURGUESA,2024-12-05 18:07:05.955778,600.0,g,Hamburguesas de Pavo Natural Home,15.99,wong,,HAMBURGUESA
,Hamburguesa Parrillera 4 Un,S/ 16.10,tottus,HAMBURGUESA,2024-12-05 11:36:18.590183,4.0,un,Hamburguesa Parrillera,16.1,tottus,AVINKA,HAMBURGUESA
