description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Arúgula Silvestre Verde Puro 120g,S/ 8.40,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,120.0,g,Arúgula Silvestre Verde Puro,8.4,wong,,VAINITA VERDE (AMERICANA)
Verduras para Ensalada Mixta Don Verde 250g,S/ 8.50,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,250.0,g,Verduras para Ensalada Mixta Don Verde,8.5,metro,,VAINITA VERDE (AMERICANA)
Espinaca Baby Deshojada Verde Puro 180g,S/ 8.70,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,180.0,g,Espinaca Baby Deshojada Verde Puro,8.7,wong,,VAINITA VERDE (AMERICANA)
Espinaca Baby Deshojada Verde Puro 180g,S/ 8.70,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,180.0,g,Espinaca Baby Deshojada Verde Puro,8.7,metro,,VAINITA VERDE (AMERICANA)
Infusión de Té Verde con Menta Cuisine & Co 20un.,S/ 8.90,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,20.0,un,Infusión de Té Verde con Menta Cuisine & Co .,8.9,metro,,VAINITA VERDE (AMERICANA)
Aceitunas Verdes en Conserva VALDEPORRES Manzanilla con Hueso Frasco 370g,S/ 8.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,370.0,g,Aceitunas Verdes en Conserva VALDEPORRES Manzanilla con Hueso Frasco,8.9,vivanda,VALDEPORRES,VAINITA VERDE (AMERICANA)
Tapenade de Pura Alcachofa CASA VERDE Frasco 190g,S/ 8.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,190.0,g,Tapenade de Pura Alcachofa CASA VERDE Frasco,8.9,vivanda,CASA VERDE,VAINITA VERDE (AMERICANA)
Mermelada de Arándano y Mango Casa Verde 210g,S/ 9.00,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,210.0,g,Mermelada de Arándano y Mango Casa Verde,9.0,metro,,VAINITA VERDE (AMERICANA)
Mermelada CASA VERDE Arándano y Mango Frasco 210g,S/ 9.00,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,210.0,g,Mermelada CASA VERDE Arándano y Mango Frasco,9.0,vivanda,CASAVERDE,VAINITA VERDE (AMERICANA)
Mix de Lechugas Baby Verde Puro 150g,S/ 9.40,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,150.0,g,Mix de Lechugas Baby Verde Puro,9.4,wong,,VAINITA VERDE (AMERICANA)
Té Verde Sabor a Frutos Rojos Wawasana 20un,S/ 9.50,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,20.0,un,Té Verde Sabor a Frutos Rojos Wawasana,9.5,metro,,VAINITA VERDE (AMERICANA)
Dip de Alcachofa y Espinaca Frasco 200 g,S/ 9.60,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,200.0,g,Dip de Alcachofa y Espinaca Frasco,9.6,wong,,VAINITA VERDE (AMERICANA)
Dip de Pimiento Piquillo con Queso Frasco 200 g,S/ 9.60,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,200.0,g,Dip de Pimiento Piquillo con Queso Frasco,9.6,wong,,VAINITA VERDE (AMERICANA)
Salsa de Ají Amarillo con Queso Casa Verde 190g,S/ 9.70,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,190.0,g,Salsa de Ají Amarillo con Queso Casa Verde,9.7,wong,,VAINITA VERDE (AMERICANA)
Pesto Genovés Casa Verde 225g,S/ 9.90,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,225.0,g,Pesto Genovés Casa Verde,9.9,wong,,VAINITA VERDE (AMERICANA)
Bruschetta de Pimiento con Alcachofa Casa Verde 235g,S/ 9.90,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,235.0,g,Bruschetta de Pimiento con Alcachofa Casa Verde,9.9,wong,,VAINITA VERDE (AMERICANA)
Aceitunas Verdes EL OLIVAR con Rocoto Bolsa 240g,S/ 9.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,240.0,g,Aceitunas Verdes EL OLIVAR con Rocoto Bolsa,9.9,vivanda,EL OLIVAR,VAINITA VERDE (AMERICANA)
Tapenade de Aceituna Casa Verde 225g,S/ 9.90,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,225.0,g,Tapenade de Aceituna Casa Verde,9.9,wong,,VAINITA VERDE (AMERICANA)
Aceitunas Verdes EL OLIVAR con Castaña Bolsa 240g,S/ 9.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,240.0,g,Aceitunas Verdes EL OLIVAR con Castaña Bolsa,9.9,vivanda,EL OLIVAR,VAINITA VERDE (AMERICANA)
Puré con Manzana Exótico Casa Verde 370g,S/ 9.90,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,370.0,g,Puré con Manzana Exótico Casa Verde,9.9,wong,,VAINITA VERDE (AMERICANA)
Bruschetta de Pimiento con Alcachofa Casa Verde 235g,S/ 9.90,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,235.0,g,Bruschetta de Pimiento con Alcachofa Casa Verde,9.9,metro,,VAINITA VERDE (AMERICANA)
Espárrago Verde en Salmuera Casa Verde 190g,S/ 9.90,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,190.0,g,Espárrago Verde en Salmuera Casa Verde,9.9,metro,,VAINITA VERDE (AMERICANA)
Espárrago Verde en Salmuera Casa Verde 190g,S/ 9.90,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,190.0,g,Espárrago Verde en Salmuera Casa Verde,9.9,wong,,VAINITA VERDE (AMERICANA)
Pesto Genovés Casa Verde 225g,S/ 9.90,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,225.0,g,Pesto Genovés Casa Verde,9.9,metro,,VAINITA VERDE (AMERICANA)
Dip con Palta CASA VERDE Frasco 225g,S/ 9.90,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,225.0,g,Dip con Palta CASA VERDE Frasco,9.9,vivanda,CASA VERDE,VAINITA VERDE (AMERICANA)
Tapenade de Aceituna Casa Verde 225g,S/ 9.90,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,225.0,g,Tapenade de Aceituna Casa Verde,9.9,metro,,VAINITA VERDE (AMERICANA)
Dip con Palta Casa Verde 225g,S/ 10.20,wong,VAINITA VERDE (AMERICANA),2024-12-05 18:52:02.896735,225.0,g,Dip con Palta Casa Verde,10.2,wong,,VAINITA VERDE (AMERICANA)
Conserva VALLE FERTIL Espárragos verdes Frasco 210Gr,S/ 10.20,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,210.0,g,Conserva VALLE FERTIL Espárragos verdes Frasco r,10.2,vivanda,VALLE FERTIL,VAINITA VERDE (AMERICANA)
Dip con Palta Casa Verde 225g,S/ 10.20,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,225.0,g,Dip con Palta Casa Verde,10.2,metro,,VAINITA VERDE (AMERICANA)
Dip de Alcachofa a la Parmesana CASA VERDE Frasco 200g,S/ 10.40,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,200.0,g,Dip de Alcachofa a la Parmesana CASA VERDE Frasco,10.4,vivanda,CASA VERDE,VAINITA VERDE (AMERICANA)
Aceituna Verde Deshuesada Cuisine & Co 260g,S/ 10.50,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,260.0,g,Aceituna Verde Deshuesada Cuisine & Co,10.5,metro,,VAINITA VERDE (AMERICANA)
Judías Verdes Planas EL CORTE INGLÉS Frasco 660g,S/ 10.50,vivanda,VAINITA VERDE (AMERICANA),2024-12-05 22:12:12.812489,660.0,g,Judías Verdes Planas EL CORTE INGLÉS Frasco,10.5,vivanda,EL CORTE INGLÉS,VAINITA VERDE (AMERICANA)
Tuna Verde x kg,S/ 10.69 x kg,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,1.0,kg,Tuna Verde,10.69,metro,,VAINITA VERDE (AMERICANA)
Arveja x kg,S/ 10.79 x kg,metro,VAINITA VERDE (AMERICANA),2024-12-05 16:15:49.101633,1.0,kg,Arveja,10.79,metro,,VAINITA VERDE (AMERICANA)
