description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Chocolate MONTBLANC 44% Cacao sin Azúcar Bolsa 50g,S/ 6.50,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,50.0,g,Chocolate MONTBLANC 44% Cacao sin Azúcar Bolsa,6.5,vivanda,MONTBLANC,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate de Leche en Barra LA IBÉRICA MILKY Envoltura 50g,S/ 6.90,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,50.0,g,Chocolate de Leche en Barra LA IBÉRICA MILKY Envoltura,6.9,vivanda,LA IBERICA,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate de Leche La Ibérica Milky Barra 50 g,S/ 6.90,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,50.0,g,Chocolate de Leche La Ibérica Milky Barra,6.9,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate para Taza 42% Cacao Tableta 90 g,S/ 7.20,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,90.0,g,Chocolate para Taza 42% Cacao Tableta,7.2,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate para Taza 42% Cacao Tableta 90 g,S/ 7.20,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,90.0,g,Chocolate para Taza 42% Cacao Tableta,7.2,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Milky LA IBÉRICA Sin Azúcar Barra 50g,S/ 7.30,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,50.0,g,Chocolate Milky LA IBÉRICA Sin Azúcar Barra,7.3,vivanda,LA IBERICA,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Bitter La Ibérica Fondant Tableta 40 g,S/ 7.50,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,40.0,g,Chocolate Bitter La Ibérica Fondant Tableta,7.5,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Hershey's Tableta 92 g,S/ 7.50,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,92.0,g,Chocolate con Leche Hershey's Tableta,7.5,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate CHOCOFUN Caramelo Bolsa 216g,S/ 7.90,vivanda,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 22:22:01.643325,216.0,g,Chocolate CHOCOFUN Caramelo Bolsa,7.9,vivanda,CHOCOFUN,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Schogetten Alpine Milk Hazelnut Tableta 100 g,S/ 7.90,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,100.0,g,Chocolate Schogetten Alpine Milk Hazelnut Tableta,7.9,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Stracciatella Schogetten Tableta 100 g,S/ 7.90,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,100.0,g,Chocolate Stracciatella Schogetten Tableta,7.9,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Schogetten Trumpf White Tableta 100 g,S/ 7.90,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,100.0,g,Chocolate Schogetten Trumpf White Tableta,7.9,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate Schogetten Caramel Brownie Tableta 100 g,S/ 7.90,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,100.0,g,Chocolate Schogetten Caramel Brownie Tableta,7.9,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate para Taza 46% Cacao Tableta 90 g,S/ 8.00,metro,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 16:29:28.806883,90.0,g,Chocolate para Taza 46% Cacao Tableta,8.0,metro,,DIVERSAS PRESENTACIONES DE CHOCOLATES
Chocolate con Leche Milky Pecanas y Pasas 40% Cacao 50g,S/ 8.50,wong,DIVERSAS PRESENTACIONES DE CHOCOLATES,2024-12-05 19:06:51.036864,50.0,g,Chocolate con Leche Milky Pecanas y Pasas 40% Cacao,8.5,wong,,DIVERSAS PRESENTACIONES DE CHOCOLATES
