description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,unit,CLASIFICACION
Italian Seasoning Mccormick 177g,S/ 41.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,177.0,g,Italian Seasoning Mccormick,41.9,wong,,TOMATE ITALIANO O MARSANO
Basurero Metal Pedal 3 Lt Cuadrado Negro Mate,S/ 42.69,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,3.0,l,Basurero Metal Pedal t Cuadrado Negro Mate,42.69,wong,,TOMATE ITALIANO O MARSANO
Basurero Metal Pedal 3 Lt Cuadrado Negro Mate,S/ 42.69,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,3.0,l,Basurero Metal Pedal t Cuadrado Negro Mate,42.69,metro,,TOMATE ITALIANO O MARSANO
Aceite Oleico de Carmano 946ml,S/ 42.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,946.0,ml,Aceite Oleico de Carmano,42.9,wong,,TOMATE ITALIANO O MARSANO
Pisco Puro OCUCAJE Italia 700ml,S/ 43.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,700.0,ml,Pisco Puro OCUCAJE Italia,43.9,plaza_vea,Botella 700ml,TOMATE ITALIANO O MARSANO
Enrique Tomás Tabla de Quesos Gourmet 120g,S/ 49.00,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,120.0,g,Enrique Tomás Tabla de Quesos Gourmet,49.0,wong,,TOMATE ITALIANO O MARSANO
Pisco FINCA ROTONDO Italia Botella 750ml,S/ 49.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,750.0,ml,Pisco FINCA ROTONDO Italia Botella,49.9,plaza_vea,Botella 750ml,TOMATE ITALIANO O MARSANO
Pisco Mosto Verde Italia Tabernero Colección Privada Botella 500ml,S/ 55.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,500.0,ml,Pisco Mosto Verde Italia Tabernero Colección Privada Botella,55.9,metro,,TOMATE ITALIANO O MARSANO
Tommee Tippee Biberón Closer To Nature 9 oz,S/ 57.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,9.0,oz,Tommee Tippee Biberón Closer To Nature,57.9,wong,,TOMATE ITALIANO O MARSANO
Enrique Tomás Tabla Sevillana 120g,S/ 59.00,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,120.0,g,Enrique Tomás Tabla Sevillana,59.0,wong,,TOMATE ITALIANO O MARSANO
Rotulador Punta Media Vintage Paper Mate Flair 24un,S/ 59.75,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,24.0,un,Rotulador Punta Media Vintage Paper Mate Flair,59.75,wong,,TOMATE ITALIANO O MARSANO
Paper Mate Lapiceros Punta Media Flair Candy Pop! Pack 24 unid,S/ 59.75,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,24.0,un,Paper Mate Lapiceros Punta Media Flair Candy Pop! Pack,59.75,wong,,TOMATE ITALIANO O MARSANO
Yerba Mate con Palo Rosamonte Bolsa 1 Kg,S/ 59.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,1.0,kg,Yerba Mate con Palo Rosamonte Bolsa,59.9,metro,,TOMATE ITALIANO O MARSANO
Pisco BIONDI Italia Botella 500ml,S/ 63.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,500.0,ml,Pisco BIONDI Italia Botella,63.9,plaza_vea,Botella 500ml,TOMATE ITALIANO O MARSANO
Vino Tinto RUFFINO Chianti Italiano Botella 75...,S/ 63.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,750.0,ml,Vino Tinto RUFFINO Chianti Italiano Botella 75,63.9,plaza_vea,Botella 750ml,TOMATE ITALIANO O MARSANO
Pisco Mosto Verde Italia FINCA ROTONDO Machu P...,S/ 64.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,750.0,ml,Pisco Mosto Verde Italia FINCA ROTONDO Machu P,64.9,plaza_vea,Botella 750ml,TOMATE ITALIANO O MARSANO
Vino Rosé FREIXENET Italian Botella 750ml,S/ 64.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,750.0,ml,Vino Rosé FREIXENET Italian Botella,64.9,plaza_vea,Botella 750ml,TOMATE ITALIANO O MARSANO
Vino Tinto Carmenere Estate De Martino Botella 750 ml,S/ 66.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,750.0,ml,Vino Tinto Carmenere Estate De Martino Botella,66.9,wong,,TOMATE ITALIANO O MARSANO
Vino Tinto Cabernet Sauvignon Estate De Martino Botella 750 ml,S/ 66.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,750.0,ml,Vino Tinto Cabernet Sauvignon Estate De Martino Botella,66.9,wong,,TOMATE ITALIANO O MARSANO
Pisco Puro Italia Huamani Botella 700ml,S/ 66.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,700.0,ml,Pisco Puro Italia Huamani Botella,66.9,metro,,TOMATE ITALIANO O MARSANO
Vino Blanco Sauvignon Blanc Estate De Martino Botella 750 ml,S/ 66.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,750.0,ml,Vino Blanco Sauvignon Blanc Estate De Martino Botella,66.9,wong,,TOMATE ITALIANO O MARSANO
Pisco HUAMANÍ Italia Botella 700ml,S/ 66.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,700.0,ml,Pisco HUAMANÍ Italia Botella,66.9,plaza_vea,Botella 700ml,TOMATE ITALIANO O MARSANO
Pisco Italia Finca Rotondo Machu Picchu Botella 750ml,S/ 68.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,750.0,ml,Pisco Italia Finca Rotondo Machu Picchu Botella,68.9,metro,,TOMATE ITALIANO O MARSANO
Pisco Mosto Verde Italia Cuatro Gallos 700ml,S/ 70.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,700.0,ml,Pisco Mosto Verde Italia Cuatro Gallos,70.9,metro,,TOMATE ITALIANO O MARSANO
Jamón Ibérico de Campo Enrique Tomas 80g,S/ 71.83,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,80.0,g,Jamón Ibérico de Campo Enrique Tomas,71.83,wong,,TOMATE ITALIANO O MARSANO
Pisco Puro Italia Viñas de Oro Silver Botella 700ml,S/ 71.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,700.0,ml,Pisco Puro Italia Viñas de Oro Silver Botella,71.9,metro,,TOMATE ITALIANO O MARSANO
Pisco CUATRO GALLOS Mosto Verde Italia Botella...,S/ 76.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,700.0,ml,Pisco CUATRO GALLOS Mosto Verde Italia Botella,76.9,plaza_vea,Botella 700ml,TOMATE ITALIANO O MARSANO
Vino Blanco MANZANOS Botella 750ml,S/ 79.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,750.0,ml,Vino Blanco MANZANOS Botella,79.9,plaza_vea,Botella 750ml,TOMATE ITALIANO O MARSANO
Pisco Mosto Verde Italia Portón Botella 750ml,S/ 80.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,750.0,ml,Pisco Mosto Verde Italia Portón Botella,80.9,wong,,TOMATE ITALIANO O MARSANO
Pisco Mosto Verde Italia Portón Botella 750ml,S/ 80.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,750.0,ml,Pisco Mosto Verde Italia Portón Botella,80.9,metro,,TOMATE ITALIANO O MARSANO
Pisco Puro Italia Cuatro Gallos Botella 1.75L,S/ 84.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,1.75,l,Pisco Puro Italia Cuatro Gallos Botella,84.9,wong,,TOMATE ITALIANO O MARSANO
Pisco Mosto Verde Italia Cuatro Gallos Colección Artistas 750ml,S/ 86.90,metro,TOMATE ITALIANO O MARSANO,2024-12-05 16:12:25.566659,750.0,ml,Pisco Mosto Verde Italia Cuatro Gallos Colección Artistas,86.9,metro,,TOMATE ITALIANO O MARSANO
Pisco Mosto Verde Italia CUATRO GALLOS Colecci...,S/ 87.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,750.0,ml,Pisco Mosto Verde Italia CUATRO GALLOS Colecci,87.9,plaza_vea,Botella 750ml,TOMATE ITALIANO O MARSANO
Pisco PORTÓN Italia Botella 750ml,S/ 89.90 un,plaza_vea,TOMATE ITALIANO O MARSANO,2024-12-05 15:29:55.673303,750.0,ml,Pisco PORTÓN Italia Botella,89.9,plaza_vea,Botella 750ml,TOMATE ITALIANO O MARSANO
Jamón Bellota Premium Enrique Tomas 80g,S/ 104.55,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,80.0,g,Jamón Bellota Premium Enrique Tomas,104.55,wong,,TOMATE ITALIANO O MARSANO
Jamón Serrano Enrique Tomas Reserva x kg,S/ 204.50 x kg,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,1.0,kg,Jamón Serrano Enrique Tomas Reserva,204.5,wong,,TOMATE ITALIANO O MARSANO
Whisky Tomatin Legacy Botella 700ml,S/ 209.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,700.0,ml,Whisky Tomatin Legacy Botella,209.9,wong,,TOMATE ITALIANO O MARSANO
Whisky Tomatin 12 Años Botella 700ml,S/ 379.90,wong,TOMATE ITALIANO O MARSANO,2024-12-05 18:48:01.654792,700.0,ml,Whisky Tomatin 12 Años Botella,379.9,wong,,TOMATE ITALIANO O MARSANO
