unit,description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
,Sixpack Panetón con Chocolate Blanca Flor Caja 450g,S/ 111.40,wong,BIZCOCHOS,2024-12-05 17:39:49.745544,450.0,g,Sixpack Panetón con Chocolate Blanca Flor Caja,111.4,wong,,BIZCOCHOS
,Tronco de Navidad Relleno de Chocolate Paluani Caramelo 750g,S/ 112.00,wong,BIZCOCHOS,2024-12-05 17:39:49.745544,750.0,g,Tronco de Navidad Relleno de Chocolate Paluani Caramelo,112.0,wong,,BIZCOCHOS
,Sixpack Panetón Blanca Flor Doypack 900g,S/ 132.20,wong,BIZCOCHOS,2024-12-05 17:39:49.745544,900.0,g,Sixpack Panetón Blanca Flor Doypack,132.2,wong,,BIZCOCHOS
,Sixpack Panetón Donofrio 880g,S/ 136.80,wong,BIZCOCHOS,2024-12-05 17:39:49.745544,880.0,g,Sixpack Panetón Donofrio,136.8,wong,,BIZCOCHOS
,Sixpack Panetón Blanca Flor Caja 900g,S/ 146.40,wong,BIZCOCHOS,2024-12-05 17:39:49.745544,900.0,g,Sixpack Panetón Blanca Flor Caja,146.4,wong,,BIZCOCHOS
,Panetón Milanesse Tre Marie Caja 1kg,S/ 149.00,wong,BIZCOCHOS,2024-12-05 17:39:49.745544,1.0,kg,Panetón Milanesse Tre Marie Caja,149.0,wong,,BIZCOCHOS
,Pandoro Tradicional Tre Marie Caja 1kg,S/ 149.00,wong,BIZCOCHOS,2024-12-05 17:39:49.745544,1.0,kg,Pandoro Tradicional Tre Marie Caja,149.0,wong,,BIZCOCHOS
,Sixpack Panetón D'Onofrio Caja 880g,S/ 150.60,wong,BIZCOCHOS,2024-12-05 17:39:49.745544,880.0,g,Sixpack Panetón D'Onofrio Caja,150.6,wong,,BIZCOCHOS
,Sixpack Panetón Bimbo Doypack 900g,S/ 167.40,wong,BIZCOCHOS,2024-12-05 17:39:49.745544,900.0,g,Sixpack Panetón Bimbo Doypack,167.4,wong,,BIZCOCHOS
,Sixpack Panetón Bimbo Caja 900g,S/ 173.40,wong,BIZCOCHOS,2024-12-05 17:39:49.745544,900.0,g,Sixpack Panetón Bimbo Caja,173.4,wong,,BIZCOCHOS
,Panetón Al Chocolate Tre Marie Caja 900g,S/ 179.00,wong,BIZCOCHOS,2024-12-05 17:39:49.745544,900.0,g,Panetón Al Chocolate Tre Marie Caja,179.0,wong,,BIZCOCHOS
