description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Marshmallow Rocky Mountain Mini 150g,S/ 7.70,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,150.0,g,Marshmallow Rocky Mountain Mini,7.7,wong,,CHIFLE (BOCADITOS)
Chupete GLOBO POP con Chicle Surtido Bolsa 24un,S/ 7.80,vega,CHIFLE (BOCADITOS),2024-12-05 13:22:59.756381,24.0,un,Chupete GLOBO POP con Chicle Surtido Bolsa,7.8,vega,Globo Pop,CHIFLE (BOCADITOS)
Marshmallow con Cobertura Sabor Chocolate Olé Olé 50un,S/ 7.90,metro,CHIFLE (BOCADITOS),2024-12-05 16:47:01.663159,50.0,un,Marshmallow con Cobertura Sabor Chocolate Olé Olé,7.9,metro,,CHIFLE (BOCADITOS)
Marshmallow con Cobertura Sabor Chocolate Olé Olé 50un,S/ 7.90,wong,CHIFLE (BOCADITOS),2024-12-05 19:25:09.251456,50.0,un,Marshmallow con Cobertura Sabor Chocolate Olé Olé,7.9,wong,,CHIFLE (BOCADITOS)
Chupetes GLOBO POP!! Con chicle sabores surtidos Bolsa 480Gr,S/ 8.00,vivanda,CHIFLE (BOCADITOS),2024-12-05 22:31:17.105023,480.0,g,Chupetes GLOBO POP!! Con chicle sabores surtidos Bolsa r,8.0,vivanda,GLOBO POP,CHIFLE (BOCADITOS)
Chupetes GLOBO POP NEON!! Con chicle sabor limonada Bolsa 480Gr,S/ 8.00,vivanda,CHIFLE (BOCADITOS),2024-12-05 22:31:17.105023,480.0,g,Chupetes GLOBO POP NEON!! Con chicle sabor limonada Bolsa r,8.0,vivanda,GLOBO POP,CHIFLE (BOCADITOS)
Chupetes BOM BOM BUM con Chicle sabores Surtidos Bolsa 456g,S/ 8.00,vivanda,CHIFLE (BOCADITOS),2024-12-05 22:31:17.105023,456.0,g,Chupetes BOM BOM BUM con Chicle sabores Surtidos Bolsa,8.0,vivanda,BON BON,CHIFLE (BOCADITOS)
Chupetes BOM BOM BUM con Chicle sabor Fresa Bolsa 456g,S/ 8.00,vivanda,CHIFLE (BOCADITOS),2024-12-05 22:31:17.105023,456.0,g,Chupetes BOM BOM BUM con Chicle sabor Fresa Bolsa,8.0,vivanda,BON BON,CHIFLE (BOCADITOS)
Chupetes GLOBO POP!! Relleno con chicle sabor fresa Bolsa 480Gr,S/ 8.00,vivanda,CHIFLE (BOCADITOS),2024-12-05 22:31:17.105023,480.0,g,Chupetes GLOBO POP!! Relleno con chicle sabor fresa Bolsa r,8.0,vivanda,GLOBO POP,CHIFLE (BOCADITOS)
Caramelos AMBROSOLI Super Rellenos con chicle Bolsa 100 un,S/ 8.00,vega,CHIFLE (BOCADITOS),2024-12-05 13:22:59.756381,100.0,un,Caramelos AMBROSOLI Super Rellenos con chicle Bolsa,8.0,vega,Ambrosoli,CHIFLE (BOCADITOS)
