description,price,website,search_term,scrape_timestamp,cantidad,unidad,description_no_unit,price_numeric,WEB,brand,CLASIFICACION
Ají Criollo Metro 250g,S/ 9.10,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,250.0,g,Ají Criollo Metro,9.1,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Salsa PIKI Ají Amarillo Molido Doypack 350Gr,S/ 9.50,vega,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 13:17:43.262369,350.0,g,Salsa PIKI Ají Amarillo Molido Doypack r,9.5,vega,Piki,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Panca En Pasta Wong Pote 250 g,S/ 9.50,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,250.0,g,Ají Panca En Pasta Wong Pote,9.5,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ajo Molido BELL’S Frasco 215g,S/ 9.50,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 22:27:19.251763,215.0,g,Ajo Molido BELL’S Frasco,9.5,vivanda,BELL'S,AJÍ PANCA MOLIDO (ESPECIAL)
Comino Molido Badía Frasco 2 Onzas,S/ 9.70,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,2.0,oz,Comino Molido Badía Frasco,9.7,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Cereal COSECHA DEL PARAISO Tostado molido Bolsa 400Gr,S/ 9.70,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 22:27:19.251763,400.0,g,Cereal COSECHA DEL PARAISO Tostado molido Bolsa r,9.7,vivanda,COSECHA DEL PARAÍSO,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Huacatay Pote 250 g,S/ 9.90,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,250.0,g,Ají Huacatay Pote,9.9,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Café Molido Cafetal Selecto 200g,S/ 9.90,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,200.0,g,Café Molido Cafetal Selecto,9.9,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Criollo TERRAZA GRILL Doypack 200g,S/ 10.20,vivanda,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 22:27:19.251763,200.0,g,Ají Criollo TERRAZA GRILL Doypack,10.2,vivanda,TERRAZA GRILL,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Criollo Arezzo 500g,S/ 10.50,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,500.0,g,Ají Criollo Arezzo,10.5,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Comino Molido Sibarita Frasco 40 g,S/ 10.60,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,40.0,g,Comino Molido Sibarita Frasco,10.6,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Amarillo Molido Piki 350g,S/ 10.90,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,350.0,g,Ají Amarillo Molido Piki,10.9,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Panca Molido Piki 350g,S/ 10.90,wong,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 19:17:17.309799,350.0,g,Ají Panca Molido Piki,10.9,wong,,AJÍ PANCA MOLIDO (ESPECIAL)
Ají Panca Molido Piki 350g,S/ 10.90,metro,AJÍ PANCA MOLIDO (ESPECIAL),2024-12-05 16:39:47.923947,350.0,g,Ají Panca Molido Piki,10.9,metro,,AJÍ PANCA MOLIDO (ESPECIAL)
